Mammals,,,,
,,,,
SNo,Common name,Scientific name,Home Continent,status
1,Lowland Anoa,Bubalus depressicornis,Indonesia,E
2,Mountain Anoa,Bubalus quarlesi,Indonesia,E
3,Giant Sable Antelope,Hippotragus niger variani,Angola,E
7,African Wild Ass,Equus africanus,"Somalia, Sudan, Ethiopia",E
8,Asian Wild Ass (Onager),Equus hemionus,Southwestern and Central Asia,E
9,Avahi (Woolly lemur),Avahi sp.,Malagasy Republic (Madagascar),E
10,Aye-aye,Daubentonia madagascariensis,Malagasy Republic (Madagascar),E
11,Babirusa,Babyrousa babyrussa,Indonesia,E
12,Gelada,Theropithecus gelada,Ethiopia,T
18,Banteng,Bos javanicus,Southeast Asia,E
20,Bumblebee Bat,Craseonycteris thonglongyai,Thailand,E
21,Gray Bat,Myotis grisescens,Central and southeastern U.S.,E
22,Hawaiian Hoary Bat,Lasiurus cinereus semotus,U.S. (HI),E
23,Indiana bat,Myotis sodalis,Eastern and Midwestern U.S.,E
25,Little Mariana fruit bat,Pteropus tokudae,"Western Pacific Ocean, U.S. (Guam)",E
26,Mariana Fruit Bat (Mariana flying fox),Pteropus mariannus,"Western Pacific Ocean, U.S. (GU, MP)",T
27,Mexican long-nosed bat (Saussure's long-nosed bat),Leptonycteris nivalis,"U.S. (NM, TX), Mexico, Central America",E
28,Ozark Big-Eared Bat,Corynorhinus (Plecotus) townsendii ingens,"U.S. (MO, OK, AR)",E
29,Rodrigues Fruit Bat (Flying Fox),Pteropus rodricensis,"Indian Ocean, Rodrigues Island",E
30,Singapore Roundleaf Horseshoe Bat,Hipposideros ridleyi,Malaysia,E
31,Virginia big-eared bat,Corynorhinus (Plecotus) townsendii virginianus,"U.S. (KS, FL, TX, OK)",E
32,American Black Bear,Ursus americanus,North America,T(S/A)
35,Blue Bear,Ursus arctos pruinosus,China (Tibet),E
37,Louisiana Black Bear,Ursus americanus luteolus,"U.S. (LA-all parishes; MS-all counties south of or touching a line from Greenville, Washington County, to Meridian, Lauderdale County; TX-all counties east of or touching a line from Linden, Cass County, SW to Bryan, Brazos County, thence SSW to Rockport, Aransas County)",T
39,Beaver,Castor fiber birulai,Mongolia,E
40,Wood Bison,Bison bison athabascae,"Canada, northwestern U.S.A",E
42,Bontebok,Damaliscus pygarus (dorcas) dorcas,South Africa,E
43,Bactrian Camel,Camelus bactrianus,"Mongolia, China",E
46,Asian Golden Cat (Temmnick's),Catopuma temminckii,"Nepal, China, Southeast Asia, Indonesia (Sumatra)",E
47,Black-footed Cat,Felis nigripes,Southern Africa,E
